Age,Gender,EmploymentStatus,AnnualIncomeUSD,Country,BankAccountsCount,CardsCount,MonthlyTransactionRange,VictimOfFraud,FraudConcernLevel,TechComfortLevel,SecurityMeasures,ValuedFeatures,MonthlyWillingnessToPayUSD,SubscribeLikelihood,Challenges,Motivations,SatisfactionLevel,ResearchFrequency,AlertPreference,RecommendationLikelihood,TryWillingness,AdoptionBarrier,ProactiveVsReactiveScale,IntegrateWithAccounts
36,Female,Employed full-time,10381.53,India,4,2,21-50,Not sure,4,6,Transaction alerts,"Real-time alerts, AI-based detection, Detailed reporting",177.55,Unlikely,"Poor customer support, Lack of transparency",Convenience,5,Monthly,Email,6,Eager to try,Cost,7,Maybe
28,Female,Employed full-time,25571.39,USA,7,5,6-10,No,6,5,None,"Personalized recommendations, Insurance against fraud, Detailed reporting",254.69,Unlikely,"Fear of hacking, Poor customer support, Lack of transparency","Cost savings, Trust & reputation, Innovative features",6,Monthly,Email,10,Eager to try,Trust issues,4,No
35,Male,Employed full-time,35645.02,UK,2,4,6-10,No,10,5,None,"Detailed reporting, Real-time alerts",266.48,Very likely,"Fear of hacking, Complexity of security","Peer recommendations, Convenience",7,Quarterly,Mobile App Notification,6,Wait for reviews,Complexity,3,Maybe
31,Male,Self-employed,21040.2,UK,4,3,11-20,Yes,9,7,Transaction alerts,"AI-based detection, Insurance against fraud, Real-time alerts",224.6,Neutral,Fear of hacking,"Trust & reputation, Innovative features",2,Monthly,Email,10,Wait for reviews,Cost,7,Yes
36,Male,Retired,20704.29,USA,2,3,6-10,No,5,7,Transaction alerts,"Insurance against fraud, Detailed reporting",125.02,Unlikely,"Poor customer support, Lack of transparency, Too many passwords","Innovative features, Cost savings",2,Monthly,Mobile App Notification,8,Eager to try,Complexity,8,Yes
41,Female,Self-employed,24326.76,USA,5,2,11-20,No,9,6,"Credit monitoring, Transaction alerts, Two-factor authentication","Insurance against fraud, Real-time alerts, Detailed reporting",383.58,Very likely,"Complexity of security, Fear of hacking, Too many passwords","Peer recommendations, Convenience",2,Weekly,Email,7,Eager to try,Trust issues,7,No
50,Female,Employed full-time,43274.36,Australia,3,3,50+,Yes,6,10,"Transaction alerts, Two-factor authentication, None","Detailed reporting, Real-time alerts",312.28,Very likely,"Fear of hacking, Poor customer support",Convenience,4,Quarterly,Email,7,Wait for reviews,Complexity,7,Maybe
22,Female,Self-employed,32454.77,Australia,4,5,21-50,No,9,9,"Two-factor authentication, Transaction alerts","Personalized recommendations, Detailed reporting, Insurance against fraud",301.08,Unlikely,Poor customer support,Innovative features,4,Monthly,Email,7,Wait for reviews,Cost,7,Maybe
56,Male,Employed full-time,9481.15,UK,2,5,21-50,No,9,8,"Biometric login, Two-factor authentication, Credit monitoring",AI-based detection,172.71,Unlikely,"Complexity of security, Fear of hacking","Cost savings, Innovative features, Trust & reputation",3,Rarely,SMS,9,Skeptical but open,Lack of awareness,6,Yes
18,Male,Unemployed,10173.89,USA,3,7,11-20,Yes,7,5,"Biometric login, Transaction alerts","AI-based detection, Detailed reporting, Insurance against fraud",133.35,Likely,Complexity of security,"Innovative features, Peer recommendations",2,Monthly,Email,8,Wait for reviews,Complexity,3,No
33,Female,Employed part-time,25232.32,USA,3,2,11-20,No,9,6,"None, Biometric login","Real-time alerts, Personalized recommendations, Detailed reporting",247.78,Very unlikely,"Too many passwords, Poor customer support, Fear of hacking","Innovative features, Cost savings, Convenience",6,Weekly,Email,9,Skeptical but open,Lack of awareness,7,Yes
40,Female,Employed full-time,47791.92,UK,3,5,6-10,No,7,7,"None, Transaction alerts",Real-time alerts,631.57,Unlikely,"Too many passwords, Fear of hacking",Cost savings,3,Monthly,Phone Call,7,Skeptical but open,Lack of awareness,8,No
37,Prefer not to say,Employed part-time,6984.84,Australia,2,1,21-50,Yes,7,8,"Credit monitoring, Biometric login, None","AI-based detection, Insurance against fraud, Detailed reporting",57.79,Very unlikely,"Poor customer support, Lack of transparency, Complexity of security","Cost savings, Peer recommendations",6,Monthly,Email,6,Wait for reviews,Cost,8,No
28,Male,Self-employed,26907.54,USA,5,3,6-10,No,8,10,"Biometric login, Transaction alerts, Credit monitoring",Detailed reporting,144.7,Very unlikely,"Fear of hacking, Poor customer support",Cost savings,5,Quarterly,Email,9,Wait for reviews,Complexity,6,Maybe
32,Female,Employed full-time,26482.81,UAE,2,3,0-5,Not sure,8,8,"Two-factor authentication, Biometric login, Credit monitoring",AI-based detection,372.24,Likely,"Fear of hacking, Poor customer support","Innovative features, Peer recommendations",6,Monthly,SMS,5,Skeptical but open,Cost,6,No
30,Male,Self-employed,83533.47,USA,2,3,21-50,No,8,6,"Biometric login, None","Real-time alerts, AI-based detection",1312.47,Unlikely,"Complexity of security, Fear of hacking, Poor customer support","Peer recommendations, Trust & reputation",2,Monthly,Email,10,Skeptical but open,Trust issues,5,Maybe
29,Male,Employed full-time,28824.67,Australia,3,2,6-10,No,7,9,"Biometric login, None",Detailed reporting,524.51,Neutral,"Fear of hacking, Too many passwords","Cost savings, Convenience",5,Rarely,Mobile App Notification,7,Eager to try,Lack of awareness,7,Maybe
43,Female,Self-employed,45697.25,UK,3,4,11-20,No,6,7,"None, Two-factor authentication, Transaction alerts","Personalized recommendations, AI-based detection, Real-time alerts",757.58,Unlikely,"Lack of transparency, Poor customer support, Too many passwords","Trust & reputation, Cost savings",4,Monthly,SMS,8,Unlikely to try,Trust issues,9,No
38,Female,Student,39527.59,UAE,6,6,0-5,Yes,9,3,"Two-factor authentication, Transaction alerts, Credit monitoring","AI-based detection, Personalized recommendations, Insurance against fraud",747.08,Unlikely,Complexity of security,"Cost savings, Peer recommendations, Trust & reputation",3,Weekly,SMS,10,Unlikely to try,Cost,6,No
28,Prefer not to say,Student,10113.84,UK,1,2,6-10,No,9,9,"Two-factor authentication, None","AI-based detection, Insurance against fraud, Detailed reporting",200.15,Very likely,"Fear of hacking, Complexity of security, Too many passwords","Convenience, Cost savings, Innovative features",3,Monthly,Email,9,Skeptical but open,Cost,9,No
43,Male,Employed part-time,57579.64,Singapore,1,3,6-10,No,8,7,"Biometric login, Two-factor authentication, None","Personalized recommendations, Insurance against fraud",931.29,Likely,Fear of hacking,"Cost savings, Innovative features",3,Monthly,SMS,9,Wait for reviews,Cost,8,No
38,Male,Employed part-time,41325.62,USA,3,6,0-5,No,6,8,"Credit monitoring, None","Real-time alerts, Detailed reporting",744.64,Likely,"Poor customer support, Complexity of security, Fear of hacking","Peer recommendations, Innovative features, Convenience",7,Quarterly,Email,8,Skeptical but open,Trust issues,6,No
43,Female,Employed full-time,49264.61,USA,2,3,21-50,Yes,8,5,"Biometric login, Credit monitoring","Personalized recommendations, Insurance against fraud, Real-time alerts",744.19,Unlikely,Lack of transparency,Convenience,5,Rarely,Email,10,Skeptical but open,Lack of awareness,8,Yes
41,Female,Student,382981.75,Australia,5,3,21-50,No,7,6,"None, Two-factor authentication, Transaction alerts","Insurance against fraud, AI-based detection, Real-time alerts",2896.9,Unlikely,Fear of hacking,"Cost savings, Trust & reputation, Innovative features",6,Quarterly,Email,9,Eager to try,Trust issues,5,Yes
26,Male,Employed full-time,10399.7,Australia,5,5,11-20,No,8,9,Transaction alerts,AI-based detection,80.34,Likely,"Too many passwords, Poor customer support","Peer recommendations, Cost savings",2,Quarterly,SMS,9,Skeptical but open,Trust issues,7,No
29,Male,Employed full-time,102213.39,Germany,3,3,21-50,No,7,8,Transaction alerts,"AI-based detection, Real-time alerts",680.12,Neutral,"Too many passwords, Complexity of security",Trust & reputation,2,Rarely,Mobile App Notification,7,Wait for reviews,Complexity,8,Yes
42,Male,Employed full-time,30562.57,Singapore,2,3,6-10,Yes,8,10,Transaction alerts,AI-based detection,585.11,Unlikely,"Fear of hacking, Complexity of security, Poor customer support",Peer recommendations,2,Quarterly,Email,6,Eager to try,Complexity,5,No
41,Female,Employed full-time,43148.26,Germany,2,4,11-20,No,8,3,None,Insurance against fraud,651.16,Likely,"Fear of hacking, Complexity of security, Too many passwords",Convenience,4,Monthly,SMS,10,Skeptical but open,Complexity,4,Yes
34,Male,Self-employed,35337.24,USA,5,5,6-10,Yes,8,8,"Two-factor authentication, Biometric login, None","Personalized recommendations, AI-based detection, Real-time alerts",595.38,Very likely,Complexity of security,Innovative features,5,Monthly,Email,9,Skeptical but open,Lack of awareness,4,No
36,Male,Employed full-time,28154.38,UK,2,5,21-50,No,7,9,None,"Personalized recommendations, Real-time alerts, AI-based detection",280.62,Likely,Complexity of security,"Peer recommendations, Innovative features",4,Quarterly,SMS,7,Skeptical but open,Cost,9,Yes
47,Male,Self-employed,25799.24,UK,9,5,11-20,Yes,8,6,Two-factor authentication,"AI-based detection, Insurance against fraud",307.17,Very unlikely,Fear of hacking,"Convenience, Cost savings",2,Monthly,Email,10,Skeptical but open,Trust issues,7,Maybe
29,Male,Employed full-time,44254.19,Singapore,1,6,21-50,Not sure,7,9,Two-factor authentication,Real-time alerts,247.68,Unlikely,"Poor customer support, Lack of transparency, Too many passwords","Trust & reputation, Innovative features",8,Monthly,Mobile App Notification,9,Wait for reviews,Trust issues,4,Yes
40,Male,Employed full-time,14613.42,UK,2,3,21-50,No,9,5,"Transaction alerts, Two-factor authentication",AI-based detection,267.94,Likely,Too many passwords,Convenience,2,Quarterly,SMS,10,Skeptical but open,Trust issues,7,No
32,Female,Employed part-time,56973.84,USA,4,1,11-20,No,8,9,"Credit monitoring, Biometric login","Personalized recommendations, Insurance against fraud",1013.85,Very likely,"Too many passwords, Poor customer support","Peer recommendations, Trust & reputation, Cost savings",3,Monthly,Email,8,Unlikely to try,Cost,9,Yes
32,Male,Employed full-time,28290.56,India,2,4,21-50,Yes,8,2,"Biometric login, Transaction alerts, Two-factor authentication",Insurance against fraud,474.49,Neutral,"Too many passwords, Poor customer support","Trust & reputation, Innovative features, Cost savings",5,Quarterly,SMS,9,Eager to try,Complexity,6,No
45,Female,Employed full-time,18434.12,Germany,4,4,50+,No,9,6,"Biometric login, Transaction alerts, None",Real-time alerts,108.29,Unlikely,Poor customer support,"Convenience, Innovative features, Peer recommendations",3,Monthly,Email,6,Skeptical but open,Trust issues,4,No
43,Male,Self-employed,27722.3,UK,3,3,6-10,No,8,4,"Transaction alerts, Two-factor authentication",Real-time alerts,211.07,Neutral,Poor customer support,"Cost savings, Convenience, Trust & reputation",2,Quarterly,Mobile App Notification,4,Wait for reviews,Lack of awareness,7,Yes
43,Female,Employed full-time,77210.41,USA,3,4,11-20,Yes,7,5,None,"Insurance against fraud, Real-time alerts, AI-based detection",773.07,Likely,"Fear of hacking, Complexity of security, Too many passwords","Innovative features, Trust & reputation",5,Monthly,SMS,8,Unlikely to try,Complexity,8,Yes
48,Female,Student,26338.81,USA,2,6,21-50,No,7,8,"Two-factor authentication, Biometric login","AI-based detection, Detailed reporting",235.63,Very likely,Fear of hacking,Innovative features,2,Monthly,SMS,7,Skeptical but open,Complexity,8,Yes
35,Female,Employed full-time,45029.46,USA,3,2,21-50,No,8,9,Biometric login,"Real-time alerts, Insurance against fraud, Detailed reporting",791.48,Very unlikely,"Complexity of security, Fear of hacking","Trust & reputation, Convenience",4,Quarterly,Mobile App Notification,9,Eager to try,Complexity,9,Yes
41,Female,Employed full-time,23421.89,USA,1,3,6-10,No,9,10,"Credit monitoring, Biometric login, Transaction alerts","Insurance against fraud, Personalized recommendations",185.56,Likely,"Fear of hacking, Too many passwords, Poor customer support","Peer recommendations, Convenience, Cost savings",5,Rarely,Mobile App Notification,9,Skeptical but open,Complexity,5,Yes
31,Male,Self-employed,57225.4,Singapore,2,5,11-20,No,7,6,Biometric login,Personalized recommendations,742.89,Likely,"Complexity of security, Fear of hacking, Lack of transparency","Peer recommendations, Innovative features",3,Quarterly,Mobile App Notification,10,Skeptical but open,Lack of awareness,8,Yes
38,Male,Employed full-time,54792.28,Singapore,1,3,11-20,No,8,5,Biometric login,"Real-time alerts, Insurance against fraud",743.57,Unlikely,"Lack of transparency, Too many passwords, Complexity of security","Innovative features, Cost savings",2,Quarterly,Email,8,Eager to try,Trust issues,5,Maybe
33,Female,Employed full-time,110102.31,Singapore,6,1,11-20,No,7,9,"Credit monitoring, Biometric login",Insurance against fraud,1252.43,Very unlikely,"Lack of transparency, Poor customer support, Fear of hacking",Trust & reputation,2,Rarely,Email,10,Eager to try,Cost,5,Yes
35,Prefer not to say,Employed full-time,32684.68,UK,5,6,6-10,No,7,7,"Credit monitoring, Transaction alerts, None","Detailed reporting, Personalized recommendations",281.43,Neutral,"Poor customer support, Fear of hacking",Peer recommendations,6,Monthly,Email,10,Wait for reviews,Lack of awareness,8,No
40,Female,Employed full-time,54241.03,Germany,4,1,50+,No,7,8,Two-factor authentication,"Detailed reporting, Insurance against fraud, AI-based detection",1052.52,Neutral,"Too many passwords, Poor customer support","Innovative features, Trust & reputation, Convenience",2,Monthly,Email,9,Eager to try,Cost,7,Yes
26,Female,Student,38516.44,USA,2,3,21-50,No,6,5,"Biometric login, Two-factor authentication, Credit monitoring","Personalized recommendations, Detailed reporting",431.42,Likely,"Complexity of security, Lack of transparency","Peer recommendations, Trust & reputation, Innovative features",6,Monthly,Email,9,Skeptical but open,Cost,8,Maybe
55,Female,Employed full-time,79025.28,India,3,4,11-20,No,8,8,"Transaction alerts, Two-factor authentication",AI-based detection,1257.26,Very likely,"Poor customer support, Complexity of security","Peer recommendations, Trust & reputation, Cost savings",3,Monthly,Mobile App Notification,9,Eager to try,Cost,9,No
24,Female,Student,23592.89,Germany,2,3,21-50,Not sure,8,5,"None, Transaction alerts",Insurance against fraud,183.1,Very likely,"Poor customer support, Too many passwords","Cost savings, Peer recommendations, Innovative features",3,Rarely,SMS,10,Skeptical but open,Trust issues,7,Yes
22,Male,Unemployed,56783.62,USA,5,7,21-50,Yes,7,8,None,"Real-time alerts, Insurance against fraud, AI-based detection",984.75,Neutral,Lack of transparency,Convenience,6,Quarterly,Email,9,Wait for reviews,Lack of awareness,7,No
46,Female,Employed full-time,32311.6,USA,2,6,6-10,No,9,10,"Two-factor authentication, Transaction alerts, Credit monitoring","Real-time alerts, Insurance against fraud, AI-based detection",266.2,Very likely,"Too many passwords, Complexity of security","Innovative features, Cost savings, Peer recommendations",2,Quarterly,Email,9,Wait for reviews,Cost,7,No
42,Prefer not to say,Unemployed,34943.48,Germany,1,4,6-10,No,7,5,"Biometric login, None, Transaction alerts","Real-time alerts, Detailed reporting, Personalized recommendations",528.68,Unlikely,Lack of transparency,"Cost savings, Convenience, Peer recommendations",4,Quarterly,Email,9,Eager to try,Complexity,7,Yes
41,Male,Employed full-time,38370.78,UK,4,5,11-20,No,9,9,Two-factor authentication,"Insurance against fraud, Detailed reporting",483.37,Very likely,Poor customer support,Peer recommendations,4,Rarely,Email,8,Wait for reviews,Complexity,9,No
41,Female,Retired,42249.35,Singapore,2,6,21-50,No,7,8,"Credit monitoring, Transaction alerts","Personalized recommendations, AI-based detection",304.13,Neutral,"Lack of transparency, Poor customer support, Fear of hacking","Innovative features, Trust & reputation",3,Monthly,Mobile App Notification,10,Wait for reviews,Complexity,7,Maybe
34,Male,Employed full-time,33869.24,USA,4,3,0-5,No,7,5,None,"Detailed reporting, Real-time alerts, AI-based detection",182.02,Neutral,"Lack of transparency, Fear of hacking, Poor customer support","Peer recommendations, Cost savings, Innovative features",4,Quarterly,Mobile App Notification,10,Wait for reviews,Cost,2,Yes
26,Female,Self-employed,41308.68,Singapore,1,3,50+,Yes,9,7,"Two-factor authentication, Credit monitoring, Biometric login","AI-based detection, Personalized recommendations",783.26,Neutral,"Lack of transparency, Complexity of security, Poor customer support","Peer recommendations, Innovative features, Trust & reputation",1,Monthly,SMS,5,Skeptical but open,Cost,7,No
35,Male,Employed full-time,93607.97,UK,3,5,11-20,No,7,2,None,"AI-based detection, Real-time alerts",644.52,Likely,"Too many passwords, Complexity of security","Trust & reputation, Cost savings, Peer recommendations",4,Quarterly,Mobile App Notification,9,Skeptical but open,Complexity,7,Maybe
28,Female,Employed full-time,65595.99,USA,3,5,11-20,No,7,4,"Two-factor authentication, Biometric login","Insurance against fraud, Real-time alerts, Personalized recommendations",1021.61,Unlikely,"Poor customer support, Too many passwords",Peer recommendations,3,Quarterly,Email,8,Skeptical but open,Trust issues,8,Maybe
44,Female,Self-employed,61174.93,Singapore,2,8,6-10,No,7,7,"Biometric login, Credit monitoring, Transaction alerts","Real-time alerts, AI-based detection",904.79,Likely,"Too many passwords, Complexity of security",Trust & reputation,3,Rarely,Email,10,Wait for reviews,Cost,3,No
33,Male,Self-employed,27630.52,USA,4,7,6-10,No,6,8,"Credit monitoring, Two-factor authentication, None",Real-time alerts,279.78,Unlikely,"Lack of transparency, Complexity of security, Too many passwords","Trust & reputation, Cost savings, Innovative features",5,Monthly,SMS,9,Wait for reviews,Cost,5,Yes
26,Female,Employed full-time,21299.85,UK,4,5,21-50,No,8,9,"Credit monitoring, Two-factor authentication, Transaction alerts",AI-based detection,165.73,Neutral,"Poor customer support, Complexity of security, Fear of hacking","Cost savings, Convenience, Peer recommendations",2,Monthly,SMS,9,Eager to try,Cost,5,No
31,Female,Employed full-time,64420.06,USA,2,4,50+,No,6,10,"None, Biometric login, Transaction alerts","Real-time alerts, Personalized recommendations",494.42,Very likely,Too many passwords,"Innovative features, Peer recommendations",6,Rarely,Phone Call,8,Eager to try,Complexity,4,Yes
39,Non-binary,Self-employed,61428.43,USA,2,6,11-20,No,7,5,Credit monitoring,Personalized recommendations,846.48,Neutral,"Lack of transparency, Poor customer support",Cost savings,2,Rarely,Email,10,Wait for reviews,Cost,9,Yes
29,Male,Self-employed,87869.01,USA,4,3,50+,No,8,5,"None, Two-factor authentication",Personalized recommendations,1160.21,Neutral,"Complexity of security, Poor customer support",Convenience,4,Monthly,Email,10,Eager to try,Lack of awareness,8,No
26,Male,Retired,25276.03,USA,2,7,21-50,Not sure,7,8,"Transaction alerts, None, Two-factor authentication","Real-time alerts, Detailed reporting",458.48,Unlikely,Lack of transparency,"Peer recommendations, Innovative features, Convenience",6,Monthly,Mobile App Notification,10,Skeptical but open,Complexity,6,Yes
37,Male,Student,31642.95,Australia,1,3,11-20,No,7,5,Credit monitoring,"AI-based detection, Detailed reporting, Real-time alerts",461.99,Unlikely,"Complexity of security, Too many passwords, Fear of hacking",Innovative features,4,Monthly,SMS,9,Skeptical but open,Complexity,4,No
37,Prefer not to say,Retired,13579.4,USA,2,7,21-50,No,8,1,"Transaction alerts, Biometric login","Real-time alerts, AI-based detection",234.78,Very likely,Fear of hacking,"Trust & reputation, Convenience, Innovative features",3,Monthly,Email,8,Unlikely to try,Complexity,6,No
29,Non-binary,Self-employed,28696.12,India,4,4,11-20,No,9,9,"Credit monitoring, Two-factor authentication, Biometric login",AI-based detection,157.43,Very likely,Lack of transparency,"Peer recommendations, Convenience, Innovative features",1,Rarely,Email,9,Skeptical but open,Cost,7,Yes
30,Female,Employed full-time,66035.14,USA,5,3,11-20,No,9,10,"Transaction alerts, Credit monitoring, None","AI-based detection, Personalized recommendations, Detailed reporting",994.81,Likely,"Poor customer support, Too many passwords, Fear of hacking",Convenience,6,Monthly,Email,10,Unlikely to try,Complexity,9,No
37,Female,Employed full-time,27449.49,UK,3,6,0-5,Yes,6,7,Two-factor authentication,Real-time alerts,233.48,Very unlikely,"Lack of transparency, Complexity of security","Trust & reputation, Cost savings, Innovative features",4,Quarterly,SMS,10,Wait for reviews,Lack of awareness,8,Yes
20,Female,Student,53331.79,Australia,1,4,21-50,Not sure,8,5,"None, Credit monitoring","Insurance against fraud, AI-based detection, Real-time alerts",468.92,Very likely,"Too many passwords, Poor customer support, Fear of hacking",Convenience,5,Monthly,Phone Call,10,Wait for reviews,Cost,8,Yes
20,Female,Self-employed,32393.02,USA,3,3,0-5,No,6,7,"Transaction alerts, None",Insurance against fraud,2560.4500000000003,Neutral,"Lack of transparency, Fear of hacking","Convenience, Peer recommendations, Trust & reputation",7,Monthly,Email,9,Wait for reviews,Cost,7,Yes
27,Male,Employed full-time,44109.67,Australia,2,3,21-50,No,9,9,"Two-factor authentication, None","Real-time alerts, Personalized recommendations, Detailed reporting",745.52,Neutral,Fear of hacking,"Convenience, Trust & reputation, Innovative features",5,Monthly,SMS,6,Unlikely to try,Cost,10,Maybe
32,Female,Employed full-time,18240.24,USA,4,2,21-50,Yes,10,6,Two-factor authentication,"Detailed reporting, Insurance against fraud, Real-time alerts",192.91,Neutral,Poor customer support,"Trust & reputation, Cost savings, Peer recommendations",2,Quarterly,Email,9,Wait for reviews,Trust issues,9,Yes
38,Male,Retired,38220.44,UAE,3,5,6-10,No,8,4,Credit monitoring,"Real-time alerts, Insurance against fraud",644.06,Likely,"Too many passwords, Poor customer support, Fear of hacking","Innovative features, Convenience",4,Rarely,Email,9,Eager to try,Cost,7,No
49,Female,Employed part-time,6034.92,India,3,3,11-20,No,8,9,"Two-factor authentication, Credit monitoring",Detailed reporting,70.34,Likely,Too many passwords,Peer recommendations,3,Quarterly,Mobile App Notification,10,Eager to try,Complexity,4,Yes
43,Female,Employed full-time,32463.2,Germany,3,4,11-20,No,7,7,"Transaction alerts, Biometric login, Credit monitoring","Real-time alerts, Personalized recommendations, Insurance against fraud",579.94,Likely,"Fear of hacking, Too many passwords, Complexity of security","Cost savings, Trust & reputation",3,Quarterly,Mobile App Notification,9,Wait for reviews,Complexity,4,Yes
33,Female,Employed full-time,13653.02,India,1,3,11-20,Yes,8,3,"Transaction alerts, Credit monitoring","Real-time alerts, AI-based detection",73.37,Very likely,"Complexity of security, Fear of hacking","Convenience, Innovative features",2,Monthly,Email,9,Skeptical but open,Complexity,8,Yes
34,Male,Employed full-time,74876.6,India,4,4,6-10,No,10,5,"Two-factor authentication, Transaction alerts, None",AI-based detection,468.16,Very likely,Poor customer support,"Cost savings, Peer recommendations, Innovative features",3,Weekly,SMS,10,Skeptical but open,Cost,7,Yes
24,Male,Employed full-time,57898.36,USA,3,3,11-20,Yes,7,6,"Credit monitoring, Biometric login, Transaction alerts","Real-time alerts, Personalized recommendations, Detailed reporting",963.73,Very likely,"Poor customer support, Lack of transparency",Innovative features,4,Monthly,Mobile App Notification,9,Skeptical but open,Complexity,9,Yes
34,Male,Employed full-time,48050.25,USA,1,1,6-10,No,5,2,"Biometric login, Credit monitoring, None","Detailed reporting, AI-based detection, Real-time alerts",690.07,Neutral,"Poor customer support, Too many passwords","Trust & reputation, Innovative features, Cost savings",2,Weekly,SMS,9,Skeptical but open,Cost,4,No
32,Male,Employed full-time,90454.64,Australia,3,3,0-5,Yes,8,9,"Biometric login, Transaction alerts, Two-factor authentication",Real-time alerts,1210.76,Likely,"Too many passwords, Complexity of security, Fear of hacking","Innovative features, Trust & reputation",4,Quarterly,SMS,8,Wait for reviews,Cost,5,No
38,Male,Student,20550.7,UK,3,4,0-5,No,8,9,"None, Biometric login",Insurance against fraud,292.02,Likely,Too many passwords,Convenience,3,Monthly,Email,6,Eager to try,Complexity,7,No
26,Non-binary,Employed full-time,103612.98,UK,3,2,6-10,No,10,5,None,"Real-time alerts, AI-based detection",1963.76,Likely,"Lack of transparency, Fear of hacking, Poor customer support","Convenience, Peer recommendations, Innovative features",3,Weekly,Email,8,Skeptical but open,Trust issues,5,Maybe
40,Female,Student,63533.01,UAE,3,3,21-50,No,8,8,Two-factor authentication,"Detailed reporting, Insurance against fraud, AI-based detection",942.39,Likely,"Poor customer support, Too many passwords","Innovative features, Convenience, Peer recommendations",3,Monthly,SMS,9,Eager to try,Lack of awareness,9,Yes
50,Male,Unemployed,31510.21,UK,4,4,50+,No,9,8,Credit monitoring,"Insurance against fraud, Personalized recommendations, AI-based detection",463.58,Likely,"Fear of hacking, Too many passwords, Poor customer support",Innovative features,6,Monthly,Email,8,Wait for reviews,Lack of awareness,7,Maybe
33,Male,Employed full-time,71780.78,Australia,2,2,11-20,No,9,6,Two-factor authentication,"AI-based detection, Real-time alerts",1176.64,Likely,"Poor customer support, Complexity of security",Innovative features,3,Rarely,Email,8,Skeptical but open,Complexity,8,Maybe
39,Male,Self-employed,18698.97,UAE,3,5,11-20,Yes,7,6,Biometric login,"Real-time alerts, AI-based detection",336.57,Neutral,"Fear of hacking, Poor customer support, Too many passwords",Cost savings,2,Monthly,Email,10,Wait for reviews,Trust issues,6,Yes
41,Female,Employed full-time,22143.33,India,3,2,6-10,Yes,7,9,"Transaction alerts, Credit monitoring, Biometric login","Personalized recommendations, Detailed reporting",197.71,Very likely,"Lack of transparency, Poor customer support, Fear of hacking","Cost savings, Innovative features",4,Monthly,SMS,9,Eager to try,Trust issues,8,No
30,Female,Unemployed,25206.22,Germany,4,6,11-20,No,7,9,"Biometric login, None","Real-time alerts, Personalized recommendations, Detailed reporting",359.22,Very unlikely,"Lack of transparency, Poor customer support, Fear of hacking","Cost savings, Peer recommendations, Innovative features",4,Quarterly,SMS,7,Skeptical but open,Complexity,9,Yes
37,Non-binary,Employed full-time,26439.47,USA,3,2,6-10,Not sure,6,6,"Biometric login, Two-factor authentication","Personalized recommendations, AI-based detection, Insurance against fraud",363.8,Very likely,Poor customer support,"Peer recommendations, Innovative features",3,Monthly,Mobile App Notification,9,Wait for reviews,Cost,7,Maybe
35,Female,Self-employed,19265.39,USA,5,2,21-50,No,9,4,Transaction alerts,"Personalized recommendations, Insurance against fraud, Detailed reporting",135.3,Very unlikely,"Poor customer support, Lack of transparency, Complexity of security","Trust & reputation, Convenience",4,Quarterly,Phone Call,8,Wait for reviews,Complexity,7,Yes
35,Prefer not to say,Self-employed,75648.27,India,3,6,50+,No,7,7,"None, Credit monitoring",Detailed reporting,968.66,Unlikely,"Fear of hacking, Lack of transparency, Too many passwords","Peer recommendations, Trust & reputation, Innovative features",5,Rarely,SMS,10,Skeptical but open,Lack of awareness,8,Yes
27,Female,Employed full-time,31091.43,USA,2,1,6-10,No,7,8,"None, Transaction alerts",AI-based detection,187.89,Neutral,Fear of hacking,"Trust & reputation, Convenience",2,Monthly,Email,9,Skeptical but open,Complexity,7,No
35,Male,Employed full-time,44869.03,UAE,2,3,21-50,No,9,9,"Biometric login, None, Transaction alerts","Personalized recommendations, Detailed reporting",348.83,Very unlikely,"Complexity of security, Poor customer support","Cost savings, Peer recommendations",4,Monthly,Phone Call,9,Eager to try,Complexity,9,No
39,Non-binary,Self-employed,25791.21,Australia,1,3,0-5,Yes,5,6,"None, Credit monitoring, Biometric login","Detailed reporting, Personalized recommendations, Insurance against fraud",482.15,Very likely,"Poor customer support, Fear of hacking","Convenience, Peer recommendations",3,Quarterly,SMS,7,Skeptical but open,Trust issues,5,No
49,Male,Self-employed,12181.07,UK,3,5,11-20,Yes,8,4,"Biometric login, None","Personalized recommendations, AI-based detection",82.69,Very likely,"Complexity of security, Too many passwords",Convenience,3,Quarterly,Mobile App Notification,10,Eager to try,Trust issues,5,Yes
44,Female,Employed full-time,42703.43,UK,5,3,6-10,No,8,8,Two-factor authentication,"AI-based detection, Detailed reporting",584.34,Likely,"Fear of hacking, Too many passwords, Lack of transparency","Cost savings, Trust & reputation, Innovative features",1,Rarely,Phone Call,7,Eager to try,Complexity,9,No
56,Male,Self-employed,11529.3,Australia,2,5,11-20,No,9,6,"None, Credit monitoring, Transaction alerts","Insurance against fraud, Detailed reporting, AI-based detection",113.59,Likely,"Too many passwords, Fear of hacking","Cost savings, Innovative features",1,Monthly,SMS,10,Wait for reviews,Trust issues,8,Maybe
27,Female,Employed full-time,34850.39,UK,1,6,6-10,Yes,9,8,"Biometric login, Transaction alerts","Detailed reporting, Insurance against fraud, Real-time alerts",464.55,Likely,"Poor customer support, Complexity of security","Convenience, Trust & reputation, Innovative features",3,Weekly,SMS,5,Wait for reviews,Complexity,6,Maybe
